Division_ID,Division_Name,Year,Division_Total_Population,Division_Population_White,Division_Population_Black_African_American,Division_Population_American_Indian_Alaska_Native,Division_Population_Asian,Division_Population_Native_Hawaiian_Other_Pacific_Islander,Division_Population_Some_Other_Race,Division_Population_Two_Or_More_Races,Division_Population_Hispanic_Latino,Percent_White,Percent_Black_African_American,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Some_Other_Race,Percent_Two_Or_More_Races,Percent_Hispanic_Latino
5,HARBOR,2021,187088.09,34990.54,9448.81,260.2,18286.4,681.59,416.61,4526.95,118476.98,18.7,5.05,0.14,9.77,0.36,0.22,2.42,63.33
5,HARBOR,2022,184697.33,35545.33,9927.87,244.19,17304.55,628.38,639.0,5302.34,115105.67,19.25,5.38,0.13,9.37,0.34,0.35,2.87,62.32
6,HOLLYWOOD,2017,101235.78,48244.51,5545.04,58.98,8819.64,87.22,337.05,2797.84,35345.5,47.66,5.48,0.06,8.71,0.09,0.33,2.76,34.91
6,HOLLYWOOD,2018,99007.76,46085.4,5829.04,99.97,8882.45,81.27,383.06,3049.52,34597.04,46.55,5.89,0.1,8.97,0.08,0.39,3.08,34.94
6,HOLLYWOOD,2019,98798.81,46002.05,5968.44,129.98,8169.96,36.29,343.91,3370.19,34777.99,46.56,6.04,0.13,8.27,0.04,0.35,3.41,35.2
6,HOLLYWOOD,2020,128980.9,64064.12,7975.85,174.78,11598.82,38.13,548.26,5182.29,39398.64,49.67,6.18,0.14,8.99,0.03,0.43,4.02,30.55
6,HOLLYWOOD,2021,125058.56,61300.1,7880.26,305.02,11334.3,93.97,719.82,5192.83,38232.25,49.02,6.3,0.24,9.06,0.08,0.58,4.15,30.57
6,HOLLYWOOD,2022,126144.79,61030.06,7925.82,361.11,11986.14,94.95,945.17,5083.67,38717.87,48.38,6.28,0.29,9.5,0.08,0.75,4.03,30.69
7,WILSHIRE,2017,123761.18,50027.27,14803.84,147.02,16676.36,113.05,839.59,3745.97,37408.09,40.42,11.96,0.12,13.47,0.09,0.68,3.03,30.23
7,WILSHIRE,2018,122413.18,50494.63,14962.68,200.92,15967.49,136.06,776.87,4230.24,35644.3,41.25,12.22,0.16,13.04,0.11,0.63,3.46,29.12
7,WILSHIRE,2019,120608.67,50596.38,14683.95,152.96,15131.73,100.1,1201.97,3920.29,34821.28,41.95,12.17,0.13,12.55,0.08,1.0,3.25,28.87
7,WILSHIRE,2020,148270.25,64042.01,17807.26,155.91,20422.15,158.02,1616.33,5800.32,38268.24,43.19,12.01,0.11,13.77,0.11,1.09,3.91,25.81
7,WILSHIRE,2021,145383.54,61589.78,17315.84,146.51,20402.06,106.02,1197.25,5549.8,39076.28,42.36,11.91,0.1,14.03,0.07,0.82,3.82,26.88
7,WILSHIRE,2022,144935.81,60128.01,17649.94,119.23,19701.72,109.04,1260.86,6525.4,39441.62,41.49,12.18,0.08,13.59,0.08,0.87,4.5,27.21
8,WEST LOS ANGELES,2017,177607.19,115088.79,5627.24,36.21,26122.4,109.53,676.05,6963.48,22983.49,64.8,3.17,0.02,14.71,0.06,0.38,3.92,12.94
8,WEST LOS ANGELES,2018,175579.31,114315.45,5309.54,110.2,25699.3,99.05,680.84,7335.34,22029.59,65.11,3.02,0.06,14.64,0.06,0.39,4.18,12.55
8,WEST LOS ANGELES,2019,173088.17,112711.78,5338.91,117.02,25593.73,136.06,662.55,7322.53,21205.58,65.12,3.08,0.07,14.79,0.08,0.38,4.23,12.25
8,WEST LOS ANGELES,2020,235878.15,148425.94,6767.99,194.27,37238.29,167.05,1452.76,11833.01,29798.84,62.92,2.87,0.08,15.79,0.07,0.62,5.02,12.63
